,bufcap,bandwidth,rtt,trial,cc,retx_
389,10000,250,5,5,cubic,
390,10000,250,75,1,bbr,
391,10000,250,75,1,cubic,
392,10000,250,75,2,bbr,
393,10000,250,75,2,cubic,
394,10000,250,75,3,bbr,
395,10000,250,75,3,cubic,
396,10000,250,75,4,bbr,
397,10000,250,75,4,cubic,
398,10000,250,75,5,bbr,
399,10000,250,75,5,cubic,
400,10000,500,100,1,bbr,
401,10000,500,100,1,cubic,864.0
402,10000,500,100,2,bbr,
403,10000,500,100,2,cubic,502.0
404,10000,500,100,3,bbr,
405,10000,500,100,3,cubic,
406,10000,500,100,4,bbr,
407,10000,500,100,4,cubic,266.0
408,10000,500,100,5,bbr,
409,10000,500,100,5,cubic,315.0
410,10000,500,10,1,bbr,
411,10000,500,10,1,cubic,
412,10000,500,10,2,bbr,653.0
413,10000,500,10,2,cubic,
414,10000,500,10,3,bbr,
415,10000,500,10,3,cubic,
416,10000,500,10,4,bbr,
417,10000,500,10,4,cubic,
418,10000,500,10,5,bbr,
419,10000,500,10,5,cubic,
420,10000,500,150,1,bbr,
421,10000,500,150,1,cubic,
422,10000,500,150,2,bbr,
423,10000,500,150,2,cubic,227.0
424,10000,500,150,3,bbr,
425,10000,500,150,3,cubic,
426,10000,500,150,4,bbr,
427,10000,500,150,4,cubic,
428,10000,500,150,5,bbr,
429,10000,500,150,5,cubic,286.0
430,10000,500,200,1,bbr,
431,10000,500,200,1,cubic,214.0
432,10000,500,200,2,bbr,
433,10000,500,200,2,cubic,233.0
434,10000,500,200,3,bbr,
435,10000,500,200,3,cubic,
436,10000,500,200,4,bbr,
437,10000,500,200,4,cubic,
438,10000,500,200,5,bbr,
439,10000,500,200,5,cubic,
440,10000,500,25,1,bbr,
441,10000,500,25,1,cubic,555.0
442,10000,500,25,2,bbr,
443,10000,500,25,2,cubic,258.0
444,10000,500,25,3,bbr,
445,10000,500,25,3,cubic,537.0
446,10000,500,25,4,bbr,
447,10000,500,25,4,cubic,316.0
448,10000,500,25,5,bbr,
449,10000,500,25,5,cubic,
450,10000,500,50,1,bbr,
451,10000,500,50,1,cubic,432.0
452,10000,500,50,2,bbr,
453,10000,500,50,2,cubic,222.0
454,10000,500,50,3,bbr,
455,10000,500,50,3,cubic,608.0
456,10000,500,50,4,bbr,
457,10000,500,50,4,cubic,442.0
458,10000,500,50,5,bbr,
459,10000,500,50,5,cubic,2206.0
460,10000,500,5,1,bbr,532.0
461,10000,500,5,1,cubic,
462,10000,500,5,2,bbr,
463,10000,500,5,2,cubic,727.0
464,10000,500,5,3,bbr,
465,10000,500,5,3,cubic,
466,10000,500,5,4,bbr,
467,10000,500,5,4,cubic,652.0
468,10000,500,5,5,bbr,
469,10000,500,5,5,cubic,
470,10000,500,75,1,bbr,
471,10000,500,75,1,cubic,679.0
472,10000,500,75,2,bbr,
473,10000,500,75,2,cubic,562.0
474,10000,500,75,3,bbr,
475,10000,500,75,3,cubic,499.0
476,10000,500,75,4,bbr,
477,10000,500,75,4,cubic,313.0
478,10000,500,75,5,bbr,
479,10000,500,75,5,cubic,761.0
480,10000,50,100,1,bbr,
481,10000,50,100,1,cubic,
482,10000,50,100,2,bbr,
483,10000,50,100,2,cubic,
484,10000,50,100,3,bbr,
485,10000,50,100,3,cubic,
486,10000,50,100,4,bbr,
487,10000,50,100,4,cubic,
488,10000,50,100,5,bbr,
489,10000,50,100,5,cubic,
490,10000,50,10,1,bbr,
491,10000,50,10,1,cubic,608.0
492,10000,50,10,2,bbr,
493,10000,50,10,2,cubic,305.0
494,10000,50,10,3,bbr,
495,10000,50,10,3,cubic,
496,10000,50,10,4,bbr,
497,10000,50,10,4,cubic,
498,10000,50,10,5,bbr,
499,10000,50,10,5,cubic,386.0
500,10000,50,150,1,bbr,
501,10000,50,150,1,cubic,
502,10000,50,150,2,bbr,
503,10000,50,150,2,cubic,
504,10000,50,150,3,bbr,
505,10000,50,150,3,cubic,
506,10000,50,150,4,bbr,
507,10000,50,150,4,cubic,
508,10000,50,150,5,bbr,
509,10000,50,150,5,cubic,
510,10000,50,200,1,bbr,
511,10000,50,200,1,cubic,
512,10000,50,200,2,bbr,905.0
513,10000,50,200,2,cubic,
514,10000,50,200,3,bbr,
515,10000,50,200,3,cubic,
516,10000,50,200,4,bbr,748.0
517,10000,50,200,4,cubic,
518,10000,50,200,5,bbr,
519,10000,50,200,5,cubic,
520,10000,50,25,1,bbr,
521,10000,50,25,1,cubic,633.0
522,10000,50,25,2,bbr,
523,10000,50,25,2,cubic,1182.0
524,10000,50,25,3,bbr,1058.0
525,10000,50,25,3,cubic,1379.0
526,10000,50,25,4,bbr,
527,10000,50,25,4,cubic,
528,10000,50,25,5,bbr,
529,10000,50,25,5,cubic,
530,10000,50,50,1,bbr,
531,10000,50,50,1,cubic,2597.0
532,10000,50,50,2,bbr,
533,10000,50,50,2,cubic,
534,10000,50,50,3,bbr,
535,10000,50,50,3,cubic,1375.0
536,10000,50,50,4,bbr,
537,10000,50,50,4,cubic,
538,10000,50,50,5,bbr,
539,10000,50,50,5,cubic,623.0
540,10000,50,5,1,bbr,238.0
541,10000,50,5,1,cubic,1101.0
542,10000,50,5,2,bbr,
543,10000,50,5,2,cubic,
544,10000,50,5,3,bbr,274.0
545,10000,50,5,3,cubic,732.0
546,10000,50,5,4,bbr,
547,10000,50,5,4,cubic,
548,10000,50,5,5,bbr,926.0
549,10000,50,5,5,cubic,270.0
550,10000,50,75,1,bbr,
551,10000,50,75,1,cubic,
552,10000,50,75,2,bbr,
553,10000,50,75,2,cubic,
554,10000,50,75,3,bbr,
555,10000,50,75,3,cubic,990.0
556,10000,50,75,4,bbr,
557,10000,50,75,4,cubic,
558,10000,50,75,5,bbr,
559,10000,50,75,5,cubic,
560,10000,750,100,1,bbr,
561,10000,750,100,1,cubic,704.0
562,10000,750,100,2,bbr,
563,10000,750,100,2,cubic,
564,10000,750,100,3,bbr,
565,10000,750,100,3,cubic,579.0
566,10000,750,100,4,bbr,
567,10000,750,100,4,cubic,644.0
568,10000,750,100,5,bbr,
569,10000,750,100,5,cubic,
570,10000,750,10,1,bbr,
571,10000,750,10,1,cubic,160.0
572,10000,750,10,2,bbr,
573,10000,750,10,2,cubic,450.0
574,10000,750,10,3,bbr,
575,10000,750,10,3,cubic,664.0
576,10000,750,10,4,bbr,
577,10000,750,10,4,cubic,
578,10000,750,10,5,bbr,
579,10000,750,10,5,cubic,346.0
580,10000,750,150,1,bbr,
581,10000,750,150,1,cubic,606.0
582,10000,750,150,2,bbr,
583,10000,750,150,2,cubic,786.0
584,10000,750,150,3,bbr,
585,10000,750,150,3,cubic,437.0
586,10000,750,150,4,bbr,
587,10000,750,150,4,cubic,
588,10000,750,150,5,bbr,
589,10000,750,150,5,cubic,
590,10000,750,200,1,bbr,
591,10000,750,200,1,cubic,204.0
592,10000,750,200,2,bbr,
593,10000,750,200,2,cubic,241.0
594,10000,750,200,3,bbr,
595,10000,750,200,3,cubic,
596,10000,750,200,4,bbr,
597,10000,750,200,4,cubic,511.0
598,10000,750,200,5,bbr,
599,10000,750,200,5,cubic,614.0
600,10000,750,25,1,bbr,
601,10000,750,25,1,cubic,308.0
602,10000,750,25,2,bbr,
603,10000,750,25,2,cubic,815.0
604,10000,750,25,3,bbr,
605,10000,750,25,3,cubic,
606,10000,750,25,4,bbr,
607,10000,750,25,4,cubic,853.0
608,10000,750,25,5,bbr,
609,10000,750,25,5,cubic,483.0
610,10000,750,50,1,bbr,
611,10000,750,50,1,cubic,
612,10000,750,50,2,bbr,
613,10000,750,50,2,cubic,
614,10000,750,50,3,bbr,
615,10000,750,50,3,cubic,419.0
616,10000,750,50,4,bbr,
617,10000,750,50,4,cubic,
618,10000,750,50,5,bbr,
619,10000,750,50,5,cubic,129.0
620,10000,750,5,1,bbr,
621,10000,750,5,1,cubic,444.0
622,10000,750,5,2,bbr,
623,10000,750,5,2,cubic,536.0
624,10000,750,5,3,bbr,
625,10000,750,5,3,cubic,
626,10000,750,5,4,bbr,
627,10000,750,5,4,cubic,530.0
628,10000,750,5,5,bbr,119.0
629,10000,750,5,5,cubic,835.0
630,10000,750,75,1,bbr,
631,10000,750,75,1,cubic,471.0
632,10000,750,75,2,bbr,
633,10000,750,75,2,cubic,
634,10000,750,75,3,bbr,
635,10000,750,75,3,cubic,124.0
636,10000,750,75,4,bbr,
637,10000,750,75,4,cubic,170.0
638,10000,750,75,5,bbr,
639,10000,750,75,5,cubic,361.0
640,100,1000,100,1,bbr,
641,100,1000,100,1,cubic,241.0
642,100,1000,100,2,bbr,
643,100,1000,100,2,cubic,
644,100,1000,100,3,bbr,
645,100,1000,100,3,cubic,687.0
646,100,1000,100,4,bbr,
647,100,1000,100,4,cubic,233.0
648,100,1000,100,5,bbr,
649,100,1000,100,5,cubic,578.0
650,100,1000,10,1,bbr,636651.0
651,100,1000,10,1,cubic,951.0
652,100,1000,10,2,bbr,649857.0
653,100,1000,10,2,cubic,1482.0
654,100,1000,10,3,bbr,635124.0
655,100,1000,10,3,cubic,1028.0
656,100,1000,10,4,bbr,642169.0
657,100,1000,10,4,cubic,608.0
658,100,1000,10,5,bbr,659330.0
659,100,1000,10,5,cubic,803.0
660,100,1000,150,1,bbr,126.0
661,100,1000,150,1,cubic,852.0
662,100,1000,150,2,bbr,
663,100,1000,150,2,cubic,167.0
664,100,1000,150,3,bbr,
665,100,1000,150,3,cubic,167.0
666,100,1000,150,4,bbr,
667,100,1000,150,4,cubic,719.0
668,100,1000,150,5,bbr,
669,100,1000,150,5,cubic,627.0
670,100,1000,200,1,bbr,
671,100,1000,200,1,cubic,
672,100,1000,200,2,bbr,
673,100,1000,200,2,cubic,
674,100,1000,200,3,bbr,
675,100,1000,200,3,cubic,267.0
676,100,1000,200,4,bbr,
677,100,1000,200,4,cubic,246.0
678,100,1000,200,5,bbr,
679,100,1000,200,5,cubic,1118.0
680,100,1000,25,1,bbr,792.0
681,100,1000,25,1,cubic,582.0
682,100,1000,25,2,bbr,967.0
683,100,1000,25,2,cubic,1063.0
684,100,1000,25,3,bbr,932.0
685,100,1000,25,3,cubic,888.0
686,100,1000,25,4,bbr,1119.0
687,100,1000,25,4,cubic,815.0
688,100,1000,25,5,bbr,2153.0
689,100,1000,25,5,cubic,2097.0
690,100,1000,50,1,bbr,451.0
691,100,1000,50,1,cubic,746.0
692,100,1000,50,2,bbr,595.0
693,100,1000,50,2,cubic,328.0
694,100,1000,50,3,bbr,186.0
695,100,1000,50,3,cubic,462.0
696,100,1000,50,4,bbr,556.0
697,100,1000,50,4,cubic,634.0
698,100,1000,50,5,bbr,407.0
699,100,1000,50,5,cubic,615.0
700,100,1000,5,1,bbr,530051.0
701,100,1000,5,1,cubic,2226.0
702,100,1000,5,2,bbr,532253.0
703,100,1000,5,2,cubic,2549.0
704,100,1000,5,3,bbr,496151.0
