,bufcap,bandwidth,rtt,cc,retx_
428,100,1000,75,bbr,252786.0
429,100,1000,75,cubic,1528.0
430,100,1000,75,bbr,276689.0
431,100,1000,75,cubic,1489.0
432,100,100,100,bbr,26982.0
433,100,100,100,cubic,1959.0
434,100,100,100,bbr,27477.0
435,100,100,100,cubic,1935.0
436,100,100,100,bbr,30896.0
437,100,100,100,cubic,831.0
438,100,100,10,bbr,10420.0
439,100,100,10,cubic,1912.0
440,100,100,10,bbr,10032.0
441,100,100,10,cubic,2326.0
442,100,100,10,bbr,10514.0
443,100,100,10,cubic,2684.0
444,100,100,150,bbr,23128.0
445,100,100,150,cubic,1782.0
446,100,100,150,bbr,23618.0
447,100,100,150,cubic,1867.0
448,100,100,150,bbr,31837.0
449,100,100,150,cubic,1844.0
450,100,100,200,bbr,27498.0
451,100,100,200,cubic,1802.0
452,100,100,200,bbr,27846.0
453,100,100,200,cubic,1919.0
454,100,100,200,bbr,25439.0
455,100,100,200,cubic,1916.0
456,100,100,25,bbr,21896.0
457,100,100,25,cubic,1711.0
458,100,100,25,bbr,23167.0
459,100,100,25,cubic,1993.0
460,100,100,25,bbr,22127.0
461,100,100,25,cubic,116.0
462,100,100,50,bbr,27134.0
463,100,100,50,cubic,2117.0
464,100,100,50,bbr,28719.0
465,100,100,50,cubic,1893.0
466,100,100,50,bbr,27845.0
467,100,100,50,cubic,1691.0
468,100,100,5,bbr,8419.0
469,100,100,5,cubic,1728.0
470,100,100,5,bbr,8017.0
471,100,100,5,cubic,1724.0
472,100,100,5,bbr,8240.0
473,100,100,5,cubic,1729.0
474,100,100,75,bbr,31858.0
475,100,100,75,cubic,2023.0
476,100,100,75,bbr,33497.0
477,100,100,75,cubic,1995.0
478,100,100,75,bbr,31675.0
479,100,100,75,cubic,1791.0
480,100,10,100,bbr,7750.0
481,100,10,100,cubic,1890.0
482,100,10,100,bbr,8200.0
483,100,10,100,cubic,1889.0
484,100,10,100,bbr,7741.0
485,100,10,100,cubic,1890.0
486,100,10,10,bbr,1293.0
487,100,10,10,cubic,1710.0
488,100,10,10,bbr,1291.0
489,100,10,10,cubic,1710.0
490,100,10,10,bbr,1288.0
491,100,10,10,cubic,1710.0
492,100,10,150,bbr,7714.0
493,100,10,150,cubic,2045.0
494,100,10,150,bbr,7483.0
495,100,10,150,cubic,2043.0
496,100,10,150,bbr,8286.0
497,100,10,150,cubic,2040.0
498,100,10,200,bbr,6544.0
499,100,10,200,cubic,1175.0
500,100,10,200,bbr,6654.0
501,100,10,200,cubic,1085.0
502,100,10,200,bbr,5912.0
503,100,10,200,cubic,1190.0
504,100,10,25,bbr,2530.0
505,100,10,25,cubic,1495.0
506,100,10,25,bbr,2541.0
507,100,10,25,cubic,1495.0
508,100,10,25,bbr,2538.0
509,100,10,25,cubic,1495.0
510,100,10,50,bbr,4250.0
511,100,10,50,cubic,1657.0
512,100,10,50,bbr,4218.0
513,100,10,50,cubic,1658.0
514,100,10,50,bbr,4268.0
515,100,10,50,cubic,1658.0
516,100,10,5,bbr,1224.0
517,100,10,5,cubic,1325.0
518,100,10,5,bbr,1225.0
519,100,10,5,cubic,1325.0
520,100,10,5,bbr,1225.0
521,100,10,5,cubic,1326.0
522,100,10,75,bbr,7187.0
523,100,10,75,cubic,1675.0
524,100,10,75,bbr,7378.0
525,100,10,75,cubic,1715.0
526,100,10,75,bbr,7358.0
527,100,10,75,cubic,1772.0
528,100,20,100,bbr,12501.0
529,100,20,100,cubic,1704.0
530,100,20,100,bbr,12494.0
531,100,20,100,cubic,1096.0
532,100,20,100,bbr,12602.0
533,100,20,100,cubic,1120.0
534,100,20,10,bbr,4782.0
535,100,20,10,cubic,1462.0
536,100,20,10,bbr,4791.0
537,100,20,10,cubic,1461.0
538,100,20,10,bbr,4768.0
539,100,20,10,cubic,1462.0
540,100,20,150,bbr,14543.0
541,100,20,150,cubic,1788.0
542,100,20,150,bbr,12394.0
543,100,20,150,cubic,1808.0
544,100,20,150,bbr,13315.0
545,100,20,150,cubic,1773.0
546,100,20,200,bbr,13852.0
547,100,20,200,cubic,1751.0
548,100,20,200,bbr,11643.0
549,100,20,200,cubic,1902.0
550,100,20,200,bbr,14039.0
551,100,20,200,cubic,2563.0
552,100,20,25,bbr,6564.0
553,100,20,25,cubic,1669.0
554,100,20,25,bbr,6616.0
555,100,20,25,cubic,1668.0
556,100,20,25,bbr,6540.0
557,100,20,25,cubic,1670.0
558,100,20,50,bbr,8296.0
559,100,20,50,cubic,1867.0
560,100,20,50,bbr,8566.0
561,100,20,50,cubic,1882.0
562,100,20,50,bbr,9634.0
563,100,20,50,cubic,1886.0
564,100,20,5,bbr,2743.0
565,100,20,5,cubic,1720.0
566,100,20,5,bbr,2855.0
567,100,20,5,cubic,489.0
568,100,20,5,bbr,2906.0
569,100,20,5,cubic,1721.0
570,100,20,75,bbr,10622.0
571,100,20,75,cubic,2046.0
572,100,20,75,bbr,10891.0
573,100,20,75,cubic,2043.0
574,100,20,75,bbr,10860.0
575,100,20,75,cubic,2016.0
576,100,250,100,bbr,67959.0
577,100,250,100,cubic,1839.0
578,100,250,100,bbr,60068.0
579,100,250,100,cubic,1604.0
580,100,250,100,bbr,69533.0
581,100,250,100,cubic,1815.0
582,100,250,10,bbr,59333.0
583,100,250,10,cubic,2123.0
584,100,250,10,bbr,68111.0
585,100,250,10,cubic,1896.0
586,100,250,10,bbr,63921.0
587,100,250,10,cubic,1909.0
588,100,250,150,bbr,66447.0
589,100,250,150,cubic,1750.0
590,100,250,150,bbr,69773.0
591,100,250,150,cubic,1689.0
592,100,250,150,bbr,72963.0
593,100,250,150,cubic,1673.0
594,100,250,200,bbr,72268.0
595,100,250,200,cubic,1740.0
596,100,250,200,bbr,84950.0
597,100,250,200,cubic,1766.0
598,100,250,200,bbr,78447.0
599,100,250,200,cubic,1661.0
600,100,250,25,bbr,63829.0
601,100,250,25,cubic,1473.0
602,100,250,25,bbr,63462.0
603,100,250,25,cubic,2279.0
604,100,250,25,bbr,66366.0
605,100,250,25,cubic,2084.0
606,100,250,50,bbr,56319.0
607,100,250,50,cubic,1664.0
608,100,250,50,bbr,52995.0
609,100,250,50,cubic,1681.0
610,100,250,50,bbr,66144.0
611,100,250,50,cubic,1745.0
612,100,250,5,bbr,51428.0
613,100,250,5,cubic,1740.0
614,100,250,5,bbr,47185.0
615,100,250,5,cubic,2239.0
616,100,250,5,bbr,56527.0
